City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,Taoudenni,ML,22.6783,-3.9836,117.75,5,35,9.51,scattered clouds
145,Cockburn Town,TC,21.4612,-71.1419,81.37,79,100,20.47,overcast clouds
146,Sale,MA,34.0389,-6.8166,91.42,61,1,8.05,clear sky
147,Punta De Bombon,PE,-17.1717,-71.7931,60.17,83,39,5.57,scattered clouds
148,Carutapera,BR,-1.195,-46.02,84.2,68,12,6.93,few clouds
149,Saint Anthony,US,45.0205,-93.218,74.1,80,1,1.01,clear sky
150,Svetlogorsk,BY,52.6333,29.7333,89.67,41,36,5.12,scattered clouds
151,Almaznyy,RU,48.0448,40.045,98.74,27,0,8.01,clear sky
152,Virginia Beach,US,36.8529,-75.978,82.62,81,75,16.11,broken clouds
153,Lebu,CL,-37.6167,-73.65,46.6,67,0,14.23,clear sky
154,Surab,PK,28.4914,66.2585,86.34,42,100,8.95,overcast clouds
155,Canto Do Buriti,BR,-8.11,-42.9444,87.91,37,0,8.75,clear sky
156,Nikolsk,RU,53.7189,46.0712,85.1,48,51,3.47,broken clouds
157,Sandwick,GB,60.0,-1.25,53.42,82,75,5.75,broken clouds
158,Ucluelet,CA,48.9329,-125.5528,53.1,92,100,3.22,overcast clouds
159,Half Moon Bay,US,37.4636,-122.4286,61.7,89,1,0.0,clear sky
160,Port Elizabeth,ZA,-33.918,25.5701,79.11,59,0,14.97,clear sky
161,Iqaluit,CA,63.7506,-68.5145,44.33,61,75,8.99,broken clouds
162,Kushiro,JP,42.975,144.3747,70.07,81,0,1.14,clear sky
163,Buraydah,SA,26.326,43.975,109.85,13,72,25.88,broken clouds
164,Najran,SA,17.4924,44.1277,95.65,24,92,19.86,overcast clouds
165,Lorengau,PG,-2.0226,147.2712,80.58,78,100,4.32,overcast clouds
166,Corredor,CR,8.64,-82.946,78.44,89,85,1.34,overcast clouds
167,Qui Nhon,VN,13.7667,109.2333,84.49,72,93,5.86,overcast clouds
168,Dunedin,NZ,-45.8742,170.5036,46.8,93,100,1.01,overcast clouds
169,Xai-Xai,MZ,-25.0519,33.6442,69.8,55,55,13.6,broken clouds
170,Dauphin,CA,51.1494,-100.0502,66.34,63,1,5.75,clear sky
171,Padang,ID,-0.9492,100.3543,80.65,83,33,0.89,scattered clouds
172,Tevaitoa,PF,-16.7833,-151.5,77.58,76,100,19.75,moderate rain
173,Yermakovskoye,RU,53.2831,92.4003,68.22,73,99,4.83,overcast clouds
174,Havre-Saint-Pierre,CA,50.2334,-63.5986,70.16,64,1,5.75,clear sky
175,Trujillo,PE,-8.116,-79.03,64.36,94,94,6.91,mist
176,Nenjiang,CN,49.1833,125.2167,69.67,95,99,7.52,heavy intensity rain
177,Tura,IN,25.5198,90.2201,76.39,95,100,2.95,overcast clouds
178,Lazaro Cardenas,MX,17.9583,-102.2,77.52,88,100,4.05,overcast clouds
179,Kenai,US,60.5544,-151.2583,56.14,92,1,0.0,light rain
180,Wad Rawah,SD,15.1603,33.1397,88.27,44,100,15.82,overcast clouds
181,Chateauroux,FR,46.8167,1.7,81.55,47,0,14.97,clear sky
182,Bandar-E Lengeh,IR,26.5579,54.8807,96.91,49,20,11.5,few clouds
183,Jumla,NP,29.2747,82.1838,64.76,95,100,2.51,overcast clouds
184,Labytnangi,RU,66.6572,66.4183,69.26,51,6,13.71,clear sky
185,Mecca,SA,21.4267,39.8261,98.49,17,100,15.28,overcast clouds
186,San Juan De Uraba,CO,8.7592,-76.5297,80.42,86,25,3.74,scattered clouds
187,Nago,JP,26.5881,127.9761,84.27,83,16,13.49,few clouds
188,Honiara,SB,-9.4333,159.95,77.72,87,100,8.08,overcast clouds
189,Klaksvik,FO,62.2266,-6.589,52.72,84,6,5.35,clear sky
190,San Vicente,AR,-26.6167,-54.1333,44.11,47,0,5.5,clear sky
191,Kilindoni,TZ,-7.9139,39.6668,77.59,68,13,16.96,few clouds
192,Cidreira,BR,-30.1811,-50.2056,50.18,58,0,22.17,clear sky
193,Aden,YE,12.7794,45.0367,87.26,65,9,10.76,clear sky
194,Xam Nua,LA,20.4197,104.0439,73.27,84,100,1.66,overcast clouds
195,Thinadhoo,MV,0.5333,72.9333,82.89,69,13,2.17,few clouds
196,Aykhal,RU,66.0,111.5,63.14,80,100,17.98,overcast clouds
197,Poya,NC,-21.35,165.15,71.26,88,100,6.98,overcast clouds
198,Aasiaat,GL,68.7098,-52.8699,41.09,87,14,7.52,few clouds
199,Pangnirtung,CA,66.1451,-65.7125,55.17,66,100,3.71,overcast clouds
200,Safaga,EG,26.7292,33.9365,107.55,43,1,10.51,clear sky
201,Roald,NO,62.5833,6.1333,58.15,76,75,14.97,broken clouds
202,Datong,CN,40.0936,113.2914,77.27,59,93,5.95,overcast clouds
203,Provideniya,RU,64.3833,-173.3,46.38,99,100,5.28,overcast clouds
204,Alvorada,BR,-12.48,-49.1247,90.39,22,21,3.62,few clouds
205,Shubarkuduk,KZ,49.1447,56.4872,93.54,23,82,11.68,broken clouds
206,Bambous Virieux,MU,-20.3428,57.7575,73.22,83,75,11.5,broken clouds
207,Sisimiut,GL,66.9395,-53.6735,53.58,72,11,5.59,few clouds
208,Sao Filipe,CV,14.8961,-24.4956,74.71,84,21,6.46,few clouds
209,Hilo,US,19.7297,-155.09,73.13,91,90,0.0,light rain
210,Kavaratti,IN,10.5669,72.642,82.17,78,100,21.41,overcast clouds
211,Macusani,PE,-14.0833,-70.4333,35.83,71,48,3.53,scattered clouds
212,Hay River,CA,60.8156,-115.7999,53.58,82,75,4.61,broken clouds
213,Sitka,US,57.0531,-135.33,57.09,88,75,0.0,broken clouds
214,Walvis Bay,NA,-22.9575,14.5053,86.45,22,9,7.18,clear sky
215,Kralendijk,BQ,12.15,-68.2667,84.18,74,40,14.97,scattered clouds
216,Alta Floresta,BR,-9.8756,-56.0861,84.02,58,0,2.3,clear sky
217,Shimoda,JP,34.6667,138.95,76.1,91,4,5.93,clear sky
218,Hasaki,JP,35.7333,140.8333,77.29,91,24,11.83,few clouds
219,Lompoc,US,34.6391,-120.4579,60.48,94,90,0.0,fog
220,Flin Flon,CA,54.7682,-101.865,55.24,100,90,8.05,mist
221,Jaguaruna,BR,-28.615,-49.0256,54.97,41,0,12.21,clear sky
222,Jawhar,SO,2.7809,45.5005,83.35,54,91,25.52,overcast clouds
223,San Cristobal,VE,7.7669,-72.225,77.18,65,65,6.42,broken clouds
224,Ostrovnoy,RU,68.0531,39.5131,68.43,56,100,15.88,overcast clouds
225,Dikson,RU,73.5069,80.5464,35.96,85,21,11.45,few clouds
226,Saint-Philippe,RE,-21.3585,55.7679,71.22,86,56,15.84,light rain
227,College,US,64.8569,-147.8028,64.38,74,75,5.75,haze
228,Soure,BR,-0.7167,-48.5233,81.88,76,0,6.82,clear sky
229,Kodiak,US,57.79,-152.4072,57.45,80,85,3.51,overcast clouds
230,Kavieng,PG,-2.5744,150.7967,82.04,78,80,11.92,broken clouds
231,Miri,MY,4.4148,114.0089,80.74,94,20,2.3,few clouds
232,Braco Do Norte,BR,-28.275,-49.1656,51.26,38,0,4.23,clear sky
233,Necochea,AR,-38.5473,-58.7368,48.04,73,9,26.42,clear sky
234,Terney,RU,45.0503,136.6092,76.91,71,0,7.34,clear sky
235,San Patricio,US,28.017,-97.5169,85.86,84,6,3.44,clear sky
236,Correntina,BR,-13.3433,-44.6367,84.72,24,0,4.85,clear sky
237,Ruteng,ID,-8.6136,120.4721,60.76,89,100,2.15,overcast clouds
238,Muravlenko,RU,63.7898,74.523,61.63,59,99,5.75,overcast clouds
239,Borba,BR,-4.3878,-59.5939,85.6,57,6,3.06,clear sky
240,Kanbe,MM,16.7053,96.0017,77.05,85,100,11.03,light rain
241,Clyde River,CA,70.4692,-68.5914,41.23,70,90,16.11,overcast clouds
242,Mont-De-Marsan,FR,44.0,-0.6667,89.28,54,40,6.91,scattered clouds
243,Tosya,TR,41.0155,34.0401,94.8,20,8,3.89,clear sky
244,Kapoeta,SS,4.7717,33.5903,81.73,55,100,5.73,light rain
245,Port Macquarie,AU,-31.4333,152.9167,49.37,70,8,6.69,clear sky
246,Conceicao Do Araguaia,BR,-8.2578,-49.2647,86.13,54,0,3.44,clear sky
247,Brae,GB,60.3964,-1.353,53.51,75,72,10.09,broken clouds
248,Torbay,CA,47.6666,-52.7314,74.75,68,20,18.41,few clouds
249,Vernon,CA,50.2581,-119.2691,65.44,56,13,2.3,few clouds
250,Drumheller,CA,51.4617,-112.7101,58.86,88,1,5.75,clear sky
251,Craig,US,40.5153,-107.5464,63.59,67,1,0.0,clear sky
252,Yichun,CN,47.7,128.9,65.57,97,99,4.18,overcast clouds
