City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Codajas,BR,2021-07-16 01:20:54,-3.8367,-62.0569,75.67,91,56,3.06
146,Visnes,NO,2021-07-16 01:20:54,59.3556,5.2242,58.57,82,0,21.85
147,Avarua,CK,2021-07-16 01:16:54,-21.2078,-159.775,77.05,83,90,8.05
148,Mana,GF,2021-07-16 01:20:54,5.6592,-53.7767,77.67,85,96,7.43
149,Gladstone,AU,2021-07-16 01:20:55,-23.85,151.25,77.79,65,0,18.41
150,San Policarpo,PH,2021-07-16 01:20:55,12.1791,125.5072,83.28,75,100,7.83
151,De Haan,BE,2021-07-16 01:20:55,51.272,3.0429,61.99,83,75,5.01
152,Lorengau,PG,2021-07-16 01:20:55,-2.0226,147.2712,85.42,73,75,9.62
153,Hualmay,PE,2021-07-16 01:20:56,-11.0964,-77.6139,63.21,83,13,10.47
154,Provideniya,RU,2021-07-16 01:20:56,64.3833,-173.3,48.31,81,90,11.18
155,Maragogi,BR,2021-07-16 01:20:56,-9.0122,-35.2225,73.78,91,26,9.01
156,Luderitz,NA,2021-07-16 01:20:56,-26.6481,15.1594,57.09,36,0,5.46
157,Coracao De Jesus,BR,2021-07-16 01:20:56,-16.6853,-44.365,65.12,49,0,1.79
158,Korla,CN,2021-07-16 01:20:57,41.7597,86.1469,82.96,30,100,8.61
159,Chuy,UY,2021-07-16 01:20:57,-33.6971,-53.4616,48.76,92,0,5.66
160,Flinders,AU,2021-07-16 01:20:57,-34.5833,150.8552,64.18,60,40,1.99
161,Puerto Ayacucho,VE,2021-07-16 01:20:58,5.6639,-67.6236,75.65,90,100,3.42
162,Opuwo,NA,2021-07-16 01:20:58,-18.0607,13.84,56.68,30,2,6.89
163,Keetmanshoop,NA,2021-07-16 01:20:58,-26.5833,18.1333,43.77,17,0,9.98
164,Myitkyina,MM,2021-07-16 01:20:58,25.3833,97.4,77.18,97,100,0.67
165,Dikson,RU,2021-07-16 01:20:58,73.5069,80.5464,34.38,96,100,14.25
166,Bredasdorp,ZA,2021-07-16 01:20:59,-34.5322,20.0403,43.29,93,0,3.44
167,Adrar,MR,2021-07-16 01:20:59,20.5022,-10.0711,90.61,28,0,24.05
168,Illingen,DE,2021-07-16 01:20:59,49.3667,7.05,63.48,94,0,1.01
169,Sorland,NO,2021-07-16 01:20:59,67.667,12.6934,52.56,89,100,36.93
170,Leningradskiy,RU,2021-07-16 01:21:00,69.3833,178.4167,45.34,92,100,5.57
171,Miyako,JP,2021-07-16 01:21:00,39.6367,141.9525,78.98,75,10,3.76
172,Qaanaaq,GL,2021-07-16 01:21:00,77.484,-69.3632,36.07,96,100,14.32
173,Dubbo,AU,2021-07-16 01:21:00,-32.25,148.6167,57.33,62,53,23.02
174,Avera,US,2021-07-16 01:21:00,33.194,-82.5271,82.27,62,70,4.94
175,Peer,BE,2021-07-16 01:21:01,51.1317,5.4568,62.22,93,100,1.01
176,Tasiilaq,GL,2021-07-16 01:21:01,65.6145,-37.6368,39.36,74,28,5.03
177,Ati,TD,2021-07-16 01:21:01,13.2154,18.3353,86.27,56,100,11.48
178,Laguna,US,2021-07-16 01:21:01,38.421,-121.4238,94.24,34,1,5.01
179,Nanortalik,GL,2021-07-16 01:21:02,60.1432,-45.2371,44.71,86,100,8.59
180,Yumen,CN,2021-07-16 01:21:02,40.2833,97.2,75.88,37,0,8.41
181,Maltahohe,NA,2021-07-16 01:21:02,-24.8333,16.9833,39.92,17,0,7.07
182,Kaitangata,NZ,2021-07-16 01:21:02,-46.2817,169.8464,54.93,67,37,3.15
183,Cayenne,GF,2021-07-16 01:21:03,4.9333,-52.3333,77.09,89,0,2.3
184,Port Alfred,ZA,2021-07-16 01:21:03,-33.5906,26.891,53.98,48,0,6.51
185,Chulym,RU,2021-07-16 01:21:03,55.0997,80.9572,50.68,92,100,11.21
186,Bambanglipuro,ID,2021-07-16 01:21:03,-7.95,110.2833,78.67,72,52,11.39
187,Cherskiy,RU,2021-07-16 01:21:04,68.75,161.3,53.67,46,6,7.61
188,Vostok,RU,2021-07-16 01:21:04,46.4856,135.8833,84.24,55,70,3.51
189,Hambantota,LK,2021-07-16 01:21:04,6.1241,81.1185,79.12,81,55,13.94
190,Egvekinot,RU,2021-07-16 01:21:04,66.3167,-179.1667,43.57,95,100,9.42
191,Grindavik,IS,2021-07-16 01:21:05,63.8424,-22.4338,52.56,93,90,14.97
192,Ucluelet,CA,2021-07-16 01:20:18,48.9329,-125.5528,73.04,83,36,1.99
193,Ubinskoye,RU,2021-07-16 01:21:05,55.3068,79.6802,50.86,90,98,13.35
194,Aborlan,PH,2021-07-16 01:21:05,9.4352,118.5492,83.07,72,100,2.57
195,Mahebourg,MU,2021-07-16 01:21:05,-20.4081,57.7,70.25,83,40,12.66
196,San Juan Del Sur,NI,2021-07-16 01:21:05,11.2529,-85.8705,82.38,71,58,18.28
197,Port Blair,IN,2021-07-16 01:21:06,11.6667,92.75,82.58,76,100,10.94
198,Gasa,PS,2021-07-16 01:16:51,31.5,34.4667,78.78,78,0,4.25
199,Lazaro Cardenas,MX,2021-07-16 01:21:06,17.9583,-102.2,81.55,83,100,4.09
200,Damara,CF,2021-07-16 01:21:06,4.9608,18.7035,76.42,88,100,2.37
201,Kalispell,US,2021-07-16 01:21:06,48.1958,-114.3129,90.16,22,20,11.99
202,La Ronge,CA,2021-07-16 01:21:07,55.1001,-105.2842,82.65,32,100,4.61
203,San Quintin,MX,2021-07-16 01:21:07,30.4833,-115.95,71.01,76,11,14.99
204,Honiara,SB,2021-07-16 01:21:07,-9.4333,159.95,88.61,55,21,10.8
205,Bethanien,NA,2021-07-16 01:21:07,-26.502,17.1583,42.44,18,0,6.58
206,Qaqortoq,GL,2021-07-16 01:21:07,60.7167,-46.0333,54.1,83,100,5.79
207,Port Lavaca,US,2021-07-16 01:21:08,28.615,-96.6261,86.05,75,1,6.91
208,San Patricio,US,2021-07-16 01:21:08,28.017,-97.5169,85.05,74,100,13.09
209,Chara,RU,2021-07-16 01:21:10,56.9064,118.2631,67.26,60,100,3.33
210,Nome,US,2021-07-16 01:21:10,64.5011,-165.4064,53.17,76,90,13.8
211,Kyakhta,RU,2021-07-16 01:21:10,50.3508,106.4494,67.95,76,100,0.83
212,Tuktoyaktuk,CA,2021-07-16 01:21:10,69.4541,-133.0374,48.2,71,40,9.22
213,Borovskoy,KZ,2021-07-16 01:21:10,53.8,64.15,48.6,94,2,8.19
214,Hobart,AU,2021-07-16 01:21:11,-42.8794,147.3294,53.26,87,75,4.61
215,Saldanha,ZA,2021-07-16 01:21:11,-33.0117,17.9442,44.65,58,0,7.09
216,Alofi,NU,2021-07-16 01:21:11,-19.0595,-169.9187,80.49,74,40,17.27
217,Sumenep,ID,2021-07-16 01:21:11,-7.0167,113.8667,80.28,65,100,4.88
